@relation intest2



@attribute CrimeType {BATTERY,NARCOTICS,'OTHER OFFENSE','CRIMINAL DAMAGE','WEAPONS VIOLATION',THEFT,'PUBLIC PEACE VIOLATION',ROBBERY,'INTERFERENCE WITH PUBLIC OFFICER',GAMBLING,'CRIMINAL TRESPASS',ASSAULT,'MOTOR VEHICLE THEFT',PROSTITUTION,'OFFENSE INVOLVING CHILDREN','DECEPTIVE PRACTICE','LIQUOR LAW VIOLATION'}

@attribute Description {'DOMESTIC BATTERY SIMPLE','POSS: HEROIN(BRN/TAN)','POSS: CANNABIS 30GMS OR LESS','VIOLATE ORDER OF PROTECTION',SIMPLE,'TO PROPERTY','POSS: CANNABIS MORE THAN 30GMS','UNLAWFUL POSS OF HANDGUN','PAROLE VIOLATION','POSS: HEROIN(WHITE)','POSS: CRACK','RETAIL THEFT','MANU/DEL:CANNABIS 10GM OR LESS','SOLICIT NARCOTICS ON PUBLICWAY','RECKLESS CONDUCT','ARMED: HANDGUN','OBSTRUCTING IDENTIFICATION','MANU/DEL:CANNABIS OVER 10 GMS',GAME/DICE,'POSS: BARBITUATES','ALTER/FORGE PRESCRIPTION','TO LAND','STRONGARM - NO WEAPON','POSSESSION OF DRUG EQUIPMENT','$500 AND UNDER','THEFT/RECOVERY: AUTOMOBILE','TO VEHICLE','FALSE/STOLEN/ALTERED TRP','PRO EMP HANDS NO/MIN INJURY','MANU/DELIVER: HEROIN (WHITE)',AUTOMOBILE,MANU/DELIVER:CRACK,'LICENSE VIOLATION','UNLAWFUL USE/SALE AIR RIFLE','AGGRAVATED: HANDGUN','TO RESIDENCE','FOUND SUSPECT NARCOTICS','POSS: PCP','SOLICIT FOR PROSTITUTE','VEHICULAR HIJACKING','POSS: COCAINE','POSS: LOOK-ALIKE DRUGS','ATTEMPT: STRONGARM-NO WEAPON','OBSTRUCTING JUSTICE','ENDANGERING LIFE/HEALTH CHILD','VEHICLE TITLE/REG OFFENSE','CRIMINAL DEFACEMENT','THEFT OF LOST/MISLAID PROP','TO STATE SUP LAND','AGGRAVATED:KNIFE/CUTTING INSTR','OVER $500','OTHER VIOLATION','GUN OFFENDER: ANNUAL REGISTRATION','ATTEMPT THEFT','VIOLATION OF CIVIL NO CONTACT ORDER','HARASSMENT BY TELEPHONE',FORGERY,'AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON','AGG PRO.EMP: OTHER DANG WEAPON','LIQUOR LICENSE VIOLATION','AGGRAVATED: OTHER DANG WEAPON','THEFT OF LABOR/SERVICES','POSS: SYNTHETIC DRUGS','POSS: HALLUCINOGENS','UNLAWFUL USE OF RECORDED SOUND','AGG PO HANDS NO/MIN INJURY','UNLAWFUL USE HANDGUN'}

@attribute Location {APARTMENT,'RESIDENCE PORCH/HALLWAY','SCHOOL, PRIVATE, BUILDING',RESIDENCE,STREET,SIDEWALK,ALLEY,'DEPARTMENT STORE','SMALL RETAIL STORE','SCHOOL, PUBLIC, GROUNDS','VEHICLE NON-COMMERCIAL',OTHER,'VACANT LOT/LAND','GAS STATION','PARKING LOT/GARAGE(NON.RESID.)','RESIDENTIAL YARD (FRONT/BACK)','GROCERY FOOD STORE','CTA BUS','DRUG STORE','CHA PARKING LOT/GROUNDS','SCHOOL, PUBLIC, BUILDING',RESTAURANT,RESIDENCE-GARAGE,'PARK PROPERTY','NURSING HOME/RETIREMENT HOME','ABANDONED BUILDING','JAIL / LOCK-UP FACILITY','BAR OR TAVERN','HOSPITAL BUILDING/GROUNDS','CHA HALLWAY/STAIRWELL/ELEVATOR','CTA BUS STOP',HOTEL/MOTEL,'OTHER RAILROAD PROP / TRAIN DEPOT','SPORTS ARENA/STADIUM','TAVERN/LIQUOR STORE','OTHER COMMERCIAL TRANSPORTATION','CTA PLATFORM','AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA','CTA TRAIN','COMMERCIAL / BUSINESS OFFICE','CONVENIENCE STORE','CTA STATION'}

@attribute Latitude numeric

@attribute Longitude numeric



@data
'CRIMINAL TRESPASS','TO LAND','GAS STATION',41.866235,-87.6920517
ROBBERY,'STRONGARM - NO WEAPON','PARKING LOT/GARAGE(NON.RESID.)',41.880239,-87.6965271
NARCOTICS,'POSSESSION OF DRUG EQUIPMENT',ALLEY,41.903673,-87.656592 
'OTHER OFFENSE','VIOLATE ORDER OF PROTECTION',STREET,41.904078,-87.684045 
'CRIMINAL TRESPASS','TO LAND','GAS STATION',41.757095,-87.628834 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.850416,-87.59284 
'CRIMINAL TRESPASS','TO LAND','PARKING LOT/GARAGE(NON.RESID.)',41.7917563,-87.72032 
'PUBLIC PEACE VIOLATION','RECKLESS CONDUCT',SIDEWALK,41.760719,-87.651578 
ASSAULT,SIMPLE,'RESIDENTIAL YARD (FRONT/BACK)',41.828325,-87.703324 
THEFT,'$500 AND UNDER','DEPARTMENT STORE',41.809317,-87.620644 
'MOTOR VEHICLE THEFT','THEFT/RECOVERY: AUTOMOBILE',STREET,41.86475,-87.673745 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.859861,-87.6610362 
'CRIMINAL TRESPASS','TO LAND','GROCERY FOOD STORE',41.779806,-87.641132 
'OTHER OFFENSE','PAROLE VIOLATION',STREET,41.814359,-87.55141 
BATTERY,SIMPLE,'CTA BUS',41.809398,-87.615709 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.851989,-87.689219 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.756416,-87.620391 
BATTERY,SIMPLE,'RESIDENCE PORCH/HALLWAY',41.87927,-87.743446 
'CRIMINAL TRESPASS','TO LAND','DRUG STORE',41.827252,-87.639594
ASSAULT,SIMPLE,'CHA PARKING LOT/GROUNDS',41.532853,-87.7219965 
ASSAULT,SIMPLE,'CHA PARKING LOT/GROUNDS',41.695853,-87.6329965
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.86023,-87.684996 
ASSAULT,SIMPLE,STREET,41.8576328,-87.6805871
BATTERY,SIMPLE,'GROCERY FOOD STORE',41.860496,-87.7565942 
ASSAULT,SIMPLE,APARTMENT,41.821488,-87.74033
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.865861,-87.581603 
'CRIMINAL DAMAGE','TO VEHICLE',OTHER,41.9203287,-87.697013 
'CRIMINAL TRESPASS','TO LAND',APARTMENT,41.847402,-87.626245 
'OTHER OFFENSE','FALSE/STOLEN/ALTERED TRP',STREET,41.832287,-87.626113 
ASSAULT,'PRO EMP HANDS NO/MIN INJURY','SCHOOL, PUBLIC, BUILDING',41.727169,-87.691636 
'CRIMINAL TRESPASS','TO LAND',OTHER,41.870803,-87.626715 
'CRIMINAL TRESPASS','TO VEHICLE','PARKING LOT/GARAGE(NON.RESID.)',41.763507,-87.63473 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.879465,-87.748353 
ROBBERY,'ARMED: HANDGUN',RESTAURANT,41.96787,-87.77750
'OTHER OFFENSE','PAROLE VIOLATION',SIDEWALK,41.879272,-87.629589
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',SIDEWALK,41.84553,-87.67187 
'MOTOR VEHICLE THEFT',AUTOMOBILE,STREET,41.850882,-87.649581 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.894927,-87.680999 
NARCOTICS,MANU/DELIVER:CRACK,'VEHICLE NON-COMMERCIAL',41.8035,-87.652459 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.833703,-87.7581894
NARCOTICS,MANU/DELIVER:CRACK,'CHA PARKING LOT/GROUNDS',41.642193,-87.745834 
'CRIMINAL TRESPASS','TO LAND',RESTAURANT,41.73708,-87.579205 
'OTHER OFFENSE','LICENSE VIOLATION',SIDEWALK,41.886235,-87.666517 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.752982,-87.667653 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.893593,-87.676529 
'WEAPONS VIOLATION','UNLAWFUL USE/SALE AIR RIFLE','SCHOOL, PUBLIC, BUILDING',41.845075,-87.624676 
ASSAULT,'AGGRAVATED: HANDGUN','PARKING LOT/GARAGE(NON.RESID.)',41.709032,-87.664322 
BATTERY,SIMPLE,'SCHOOL, PUBLIC, BUILDING',41.830957,-87.59461 
ASSAULT,SIMPLE,'GAS STATION',41.820112,-87.674696 
'CRIMINAL TRESPASS','TO RESIDENCE','RESIDENCE PORCH/HALLWAY',41.877063,-87.742008 
NARCOTICS,'FOUND SUSPECT NARCOTICS',SIDEWALK,41.833434,-87.595487 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.882627,-87.640702 
NARCOTICS,'POSS: HEROIN(WHITE)',ALLEY,41.855689,-87.589265 
NARCOTICS,'POSS: PCP',SIDEWALK,41.860859,-87.68065 
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.8443,-87.744504
ASSAULT,SIMPLE,RESIDENCE,41.833801,-87.649551 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.866679,-87.71946 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)','RESIDENTIAL YARD (FRONT/BACK)',41.843597,-87.6717782 
PROSTITUTION,'SOLICIT FOR PROSTITUTE',STREET,41.863094,-87.612529 
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS',STREET,41.931363,-87.63383 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',RESIDENCE-GARAGE,41.867027,-87.624118 
NARCOTICS,'POSSESSION OF DRUG EQUIPMENT',STREET,41.91287587,-87.642503 
ASSAULT,'PRO EMP HANDS NO/MIN INJURY','SCHOOL, PUBLIC, BUILDING',41.705868,-87.6918
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.772878,-87.61498 
NARCOTICS,'MANU/DEL:CANNABIS 10GM OR LESS',SIDEWALK,41.860557,-87.674399 
BATTERY,SIMPLE,OTHER,41.913055,-87.696441 
NARCOTICS,'POSS: HEROIN(WHITE)',STREET,41.849737,-87.618532 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.88125,-87.682633 
THEFT,'RETAIL THEFT','SMALL RETAIL STORE',41.79148,-87.66207
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','SCHOOL, PUBLIC, BUILDING',41.837457,-87.677995 
NARCOTICS,'POSS: HEROIN(WHITE)','RESIDENTIAL YARD (FRONT/BACK)',41.896808,-87.699187 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN','PARK PROPERTY',41.8688277,-87.6549099 
ASSAULT,SIMPLE,'NURSING HOME/RETIREMENT HOME',41.820301,-87.69616 
'OTHER OFFENSE','PAROLE VIOLATION',ALLEY,41.925336,-87.602017 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.871651,-87.684759 
NARCOTICS,'MANU/DEL:CANNABIS 10GM OR LESS','ABANDONED BUILDING',41.888465,-87.798254 
BATTERY,'PRO EMP HANDS NO/MIN INJURY','SCHOOL, PUBLIC, BUILDING',41.778755,-87.702297
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.780192,-87.69158 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.782856,-87.660921 
'CRIMINAL TRESPASS','TO RESIDENCE',APARTMENT,41.710301,-87.630588 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.800556,-87.666815 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.78271,-87.680088 
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS',RESIDENCE,41.828596,-87.602581 
ROBBERY,'VEHICULAR HIJACKING',STREET,42.870993,-87.680246 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.866198,-87.682256 
BATTERY,SIMPLE,SIDEWALK,41.822552,-87.656374 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','SCHOOL, PRIVATE, BUILDING',41.818067,-87.653896 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS','SCHOOL, PRIVATE, BUILDING',41.851008,-87.711118 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.852505,-87.670832 
BATTERY,SIMPLE,SIDEWALK,41.866233,-87.700609 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.725063,-87.628695 
BATTERY,SIMPLE,OTHER,41.810815,-87.641515 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.85483,-87.698126 
BATTERY,'DOMESTIC BATTERY SIMPLE',SIDEWALK,41.878557,-87.734739 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',APARTMENT,41.9127821,-87.608603 
NARCOTICS,'POSS: COCAINE',SIDEWALK,41.843246,-87.686227 
ROBBERY,'STRONGARM - NO WEAPON','SMALL RETAIL STORE',41.76373,-87.671821 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.783019,-87.613487 
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.959676,-87.72981 
ROBBERY,'STRONGARM - NO WEAPON',SIDEWALK,41.828484,-87.708337 
NARCOTICS,'POSS: LOOK-ALIKE DRUGS','JAIL / LOCK-UP FACILITY',41.806595,-87.685214 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.859825,-87.625634 
BATTERY,'DOMESTIC BATTERY SIMPLE',RESIDENCE,41.913831,-87.725324 
NARCOTICS,'POSS: COCAINE',SIDEWALK,41.821483,-87.677028 
BATTERY,SIMPLE,RESIDENCE,41.952862,-87.721253 
THEFT,'RETAIL THEFT','DRUG STORE',41.823344,-87.708716 
'CRIMINAL TRESPASS','TO LAND','BAR OR TAVERN',41.756042,-87.635323 
'CRIMINAL DAMAGE','TO PROPERTY',RESIDENCE,41.77381,-87.606238 
'CRIMINAL DAMAGE','TO PROPERTY',APARTMENT,41.837345,-87.625152 
NARCOTICS,'POSS: CANNABIS MORE THAN 30GMS','VEHICLE NON-COMMERCIAL',42.01132,-87.685956 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN',SIDEWALK,41.911176,-87.657157 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.805015,-87.609787 
ROBBERY,'ATTEMPT: STRONGARM-NO WEAPON',STREET,41.929302,-87.662882 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.918242,-87.611803 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION','PARKING LOT/GARAGE(NON.RESID.)',41.85016,-87.688962 
ASSAULT,SIMPLE,SIDEWALK,41.84009,-87.692992
ASSAULT,SIMPLE,'HOSPITAL BUILDING/GROUNDS',41.811336,-87.65671 
'CRIMINAL TRESPASS','TO VEHICLE',STREET,41.845643,-87.695381 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.892685,-87.605891 
NARCOTICS,'POSS: COCAINE','GAS STATION',41.822941,-87.704785 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',STREET,41.795699,-87.592591 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING JUSTICE',RESIDENCE,41.812837,-87.632885 
'OFFENSE INVOLVING CHILDREN','ENDANGERING LIFE/HEALTH CHILD',STREET,41.888019,-87.657975 
BATTERY,SIMPLE,'BAR OR TAVERN',41.809027,-87.737164 
'OTHER OFFENSE','VEHICLE TITLE/REG OFFENSE',STREET,41.911124,-87.662415 
'CRIMINAL TRESPASS','TO LAND','RESIDENCE PORCH/HALLWAY',41.790274,-87.681874 
'CRIMINAL TRESPASS','TO LAND','CHA HALLWAY/STAIRWELL/ELEVATOR',41.77009,-87.6016 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.906383,-87.638998 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.809426,-87.644945 
'MOTOR VEHICLE THEFT',AUTOMOBILE,STREET,41.858919,-87.676019 
'CRIMINAL DAMAGE','CRIMINAL DEFACEMENT',ALLEY,41.985276,-87.672452 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.753113,-87.583906 
'DECEPTIVE PRACTICE','THEFT OF LOST/MISLAID PROP','CTA BUS STOP',41.650257,-87.604818 
NARCOTICS,'POSS: HEROIN(WHITE)',HOTEL/MOTEL,41.808825,-87.6669 
NARCOTICS,'POSS: COCAINE',STREET,41.861259,-87.672729 
NARCOTICS,'MANU/DEL:CANNABIS 10GM OR LESS',SIDEWALK,41.790414,-87.629942 
NARCOTICS,'MANU/DELIVER: HEROIN (WHITE)',STREET,41.83235,-87.596375 
'WEAPONS VIOLATION','UNLAWFUL POSS OF HANDGUN','RESIDENCE PORCH/HALLWAY',41.958497,-87.668318 
'INTERFERENCE WITH PUBLIC OFFICER','OBSTRUCTING IDENTIFICATION',STREET,41.816208,-87.636056 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.936962,-87.672296 
'OTHER OFFENSE','VEHICLE TITLE/REG OFFENSE','VEHICLE NON-COMMERCIAL',41.952914,-87.665731 
BATTERY,SIMPLE,STREET,41.912485,-87.694007 
'DECEPTIVE PRACTICE','THEFT OF LOST/MISLAID PROP',STREET,41.812398,-87.593977 
'CRIMINAL TRESPASS','TO STATE SUP LAND','OTHER RAILROAD PROP / TRAIN DEPOT',41.817842,-87.645316 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',SIDEWALK,41.8720659,-87.679311 
NARCOTICS,'POSS: HEROIN(WHITE)',SIDEWALK,41.854709,-87.682464 
THEFT,'RETAIL THEFT','DEPARTMENT STORE',41.805071,-87.770984 
ASSAULT,'AGGRAVATED:KNIFE/CUTTING INSTR',STREET,41.834995,-87.625778 
'CRIMINAL TRESPASS','TO LAND','GAS STATION',41.773453,-87.641568
NARCOTICS,'POSS: CRACK',SIDEWALK,41.846267,-87.69877 
BATTERY,SIMPLE,APARTMENT,41.783179,-87.642148 
'CRIMINAL TRESPASS','TO RESIDENCE',RESIDENCE,41.772743,-87.605949
ASSAULT,SIMPLE,SIDEWALK,41.75419,-87.707299 
'CRIMINAL DAMAGE','TO PROPERTY','GROCERY FOOD STORE',41.831574,-87.621809 
BATTERY,SIMPLE,ALLEY,42.898479,-87.72481 
'PUBLIC PEACE VIOLATION','RECKLESS CONDUCT',RESIDENCE,41.81846,-87.645248 
BATTERY,SIMPLE,'SPORTS ARENA/STADIUM',41.926349,-87.648526 
THEFT,'RETAIL THEFT','TAVERN/LIQUOR STORE',41.710461,-87.707122 
BATTERY,SIMPLE,SIDEWALK,41.801512,-87.67550
THEFT,'OVER $500',STREET,41.889243,-87.603213 
BATTERY,'DOMESTIC BATTERY SIMPLE',STREET,41.862408,-87.635719 
'PUBLIC PEACE VIOLATION','OTHER VIOLATION',SIDEWALK,41.803349,-87.751526 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',ALLEY,41.936866,-87.628884 
BATTERY,'DOMESTIC BATTERY SIMPLE',APARTMENT,41.8976,-87.716454 
'OTHER OFFENSE','GUN OFFENDER: ANNUAL REGISTRATION',STREET,41.896423,-87.620627 
'CRIMINAL TRESPASS','TO LAND',RESIDENCE,41.858314,-87.707961 
ASSAULT,SIMPLE,'GROCERY FOOD STORE',41.850439,-87.693346 
'OTHER OFFENSE','GUN OFFENDER: ANNUAL REGISTRATION',STREET,41.832796,-87.60267 
NARCOTICS,'POSS: CANNABIS 30GMS OR LESS',STREET,41.850185,-87.60303 
THEFT,'RETAIL THEFT','DRUG STORE',41.854198,-87.686377 
THEFT,'RETAIL THEFT','GROCERY FOOD STORE',41.829185,-87.652594 
'CRIMINAL DAMAGE','TO PROPERTY',RESIDENCE,41.764484,-87.610132 
